brsr_id,esrs_universe_size,symbolic_candidates,rerank_top,ce_pairs_scored,base_universe_encode_seconds,kd_gold_universe_encode_seconds,kd_gold_medium_universe_encode_seconds,direct_query_seconds,symbolic_seconds,ce_seconds,multihop_kd_gold_seconds,multihop_kd_gold_medium_seconds,direct_kd_gold_scoring_seconds,direct_kd_gold_medium_scoring_seconds
A13,517,2,50,2,0.45557261537760496,0.16991246864199638,0.15699866320937872,0.01994339656084776,7.050298154354095e-05,0.01390529703348875,0.010617257095873356,0.010423693805932999,0.00041023362427949905,0.000394563190639019
B6,517,186,50,50,0.45557261537760496,0.16991246864199638,0.15699866320937872,0.010571337305009365,0.0003604060038924217,0.0386177534237504,0.015990189276635647,0.0140668461099267,0.0008723316714167595,0.0003784801810979843
P1-E7,517,5,50,5,0.45557261537760496,0.16991246864199638,0.15699866320937872,0.01374176423996687,8.670613169670105e-05,0.0191956777125597,0.013812528923153877,0.013618936762213707,0.0007119579240679741,0.0006460575386881828
P5-E2,517,7,50,7,0.45557261537760496,0.16991246864199638,0.15699866320937872,0.014399407431483269,6.455648690462112e-05,0.013652252033352852,0.009164372459053993,0.0088003845885396,0.00045696087181568146,0.0003411630168557167
P6-E1,517,13,50,13,0.45557261537760496,0.16991246864199638,0.15699866320937872,0.010167770087718964,7.484108209609985e-05,0.028143981471657753,0.014415506273508072,0.011018729768693447,0.00041501037776470184,0.00032397080212831497
