brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
B7,,,2-22,2-22-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
B8,,,2-13,2-13,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
B8,,,2-13,2-13-A-I,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
B9,,,2-9,2-9,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
B9,,,2-9,2-9-B,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
B9,,,2-9,2-9-C-I-VIII,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P1-E1,,,2-17,2-17,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P1-E1,,,2-17,2-17-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P1-E1,,,2-24,2-24,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P1-E1,,,2-24,2-24-A-IV,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P1-E2,,,2-27,2-27,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P1-E3,,,2-27,2-27,,,,,,,,,,,,7,low_precision,no_esrs_datapoint,0,
P1-E4,,,2-23,2-23,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P1-E4,,,2-23,2-23-A,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P1-E4,,,2-23,2-23-C,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P1-E4,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P1-E4,,,3-3,3-3-C,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P1-E5,,,205-3,205-3,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P1-E5,,,205-3,205-3-A,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P1-E5,,,205-3,205-3-B,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P1-E6,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P1-E7,,,205-3,205-3,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P1-E7,,,205-3,205-3-D,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P1-L1,,,2-24,2-24,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
