brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P6-L1,,,302-1,302-1-C-I,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-L1,,,302-1,302-1-E,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-L2,,,303-4,303-4,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L2,,,303-4,303-4-A-I-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L3,,,303-3,303-3,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L3,,,303-3,303-3-B-I-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L3,,,303-4,303-4,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L3,,,303-4,303-4-A-I-II,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-3,305-3,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-3,305-3-A,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-3,305-3-B,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-4,305-4,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-4,305-4-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-4,305-4-B,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L4,,,305-4,305-4-C,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L5,,,304-2,304-2,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L5,,,304-2,304-2-A-I-VI,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L5,,,304-2,304-2-B-I-IV,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P6-L5,,,304-3,304-3,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L5,,,304-3,304-3-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P6-L6,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P7-E2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-E1,,,413-1,413-1-A-I-III,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-E2,,,2-25,2-25,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P8-E2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-E2,,,413-1,413-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-E2,,,413-1,413-1-A-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-E3,,,2-25,2-25-B,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P8-E3,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-E3,,,413-1,413-1-A-VIII,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-L1,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-L1,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-L1,,,413-1,413-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-L1,,,413-1,413-1-A-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-L2,,,413-1,413-1-A-IV,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-L3,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-L4,,,201-1,201-1-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P8-L5,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-L5,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P8-L6,,,413-1,413-1-A-IVC,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P9-E1,,,2-25,2-25-B,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P9-E1,,,2-25,2-25-D,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P9-E1,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P9-E3,,,418-1,418-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P9-E3,,,418-1,418-1-A-I-II,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P9-E3,,,418-1,418-1-B,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P9-E5,,,2-23,2-23-A,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P9-E5,,,2-23,2-23-C,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P9-E5,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P9-E6,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P9-E6,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P9-L1,,,2-6,2-6-B-I,,,,,,,,,,,,11,low_precision,no_esrs_datapoint,0,
P9-L2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P9-L5,,,418-1,418-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P9-L5,,,418-1,418-1-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
