brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P2-E3,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P2-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P2-L2,3-3-A,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P2-L2,3-3-D-I-III,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P2-L2,306-2,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P2-L2,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P3-E1,401-2,401-2,9,high_expansion,partial_requirement,no_direct_linkage,no_direct_linkage,low_precision,expansion_9
P3-E11,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E11,403-9-A-I-V,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E11,403-9-B-I-V,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P3-E12,3-3-D-I-III,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P3-E12,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,403-9-C-III,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E13,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P3-E14,3-3-E-I,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P3-E15,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P3-E15,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E15,403-9-C-II-III,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E15,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E1a,401-2-A-I,401-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P3-E3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P3-E3,3-3-C,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P3-E6,2-25-B,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P3-E7,2-30,2-30,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P3-E7,2-30-A,2-30,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P3-E8,404-1,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P3-E8,404-1-A-I,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P3-L3,3-3-D-II,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P4-E1,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E2,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
