brsr_id,gri_code,gri_disclosure,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_name,esrs_data_type,brsr_match_type,brsr_mapping_semantics,brsr_evidence_source,gri_esrs_match_level,expansion_count,expansion_class,interop_support,evidence_tier
A18,2-7,2-7,SBM-1_03,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), at end of period",Integer,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,SBM-1_04,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), during period",Integer,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_01,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_02,ESRS S1,S1,S1-6,Number of employees (head count),Table 1/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_03,ESRS S1,S1,S1-6,Average number of employees (head count),Table 1/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_04,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_05,ESRS S1,S1,S1-6,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_06,ESRS S1,S1,S1-6,Average number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_07,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - information on employees by contract type and gender  [table],Table 3,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_08,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - information on employees by region [table],Table 3,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_09,ESRS S1,S1,S1-6,Number of employees (head count or full-time equivalent),Table 3/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_10,ESRS S1,S1,S1-6,Average number of employees (head count or full-time equivalent),Table 3/Decimal,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_13,ESRS S1,S1,S1-6,Description of methodologies and assumptions used to compile data (employees),narrative,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_14,ESRS S1,S1,S1-6,Employees numbers are reported in head count or full-time equivalent,semi-narrative,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_15,ESRS S1,S1,S1-6,Employees numbers are reported at end of reporting period/average/other methodology,semi-narrative,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_16,ESRS S1,S1,S1-6,Disclosure of contextual information necessary to understand data (employees),narrative,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_18,ESRS S1,S1,S1-6,Further detailed breakdown by gender and by region [table],Table 4,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_19,ESRS S1,S1,S1-6,Number of full-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18,2-7,2-7,S1-6_20,ESRS S1,S1,S1-6,Number of part-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,direct,table2_fallback,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,SBM-1_03,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), at end of period",Integer,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,SBM-1_04,ESRS 2,ESRS 2,SBM-1,"Number of employees (head count), during period",Integer,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,S1-6_01,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees by gender [table],Table 1,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,S1-6_02,ESRS S1,S1,S1-6,Number of employees (head count),Table 1/Decimal,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,S1-6_03,ESRS S1,S1,S1-6,Average number of employees (head count),Table 1/Decimal,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,S1-6_04,ESRS S1,S1,S1-6,Characteristics of undertaking's employees - number of employees in countries with 50 or more employees representing at least 10% of total number of employees [table],Table 2,direct,direct,table1,disclosure,19,high,direct,review
A18a,2-7-B-I-II,2-7,S1-6_05,ESRS S1,S1,S1-6,Number of employees in countries with 50 or more employees representing at least 10% of total number of employees,Table 2/Decimal,direct,direct,table1,disclosure,19,high,direct,review
