brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P3-E10a,403-1-A,403-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E10a,403-1-B,403-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P3-E11,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E11,403-10-A,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E11,403-10-B-II,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E11,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E11,403-9-A-I-V,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E11,403-9-B-I-V,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P3-E12,3-3-D-I-III,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P3-E12,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E12,403-10-C-III,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E12,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,403-9-C-III,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E12,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E13,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P3-E14,3-3-E-I,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_186
P3-E15,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P3-E15,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E15,403-10-C-II-III,403-10,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P3-E15,403-9,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E15,403-9-C-II-III,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E15,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P3-E1a,401-2-A-I,401-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P3-E3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
