brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P6-E6,305-4-A,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E6,305-4-B,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E6,305-4-C,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E8,306-3,306-3,3,moderate_expansion,broader_topic; direct,direct,direct,review,small_expansion
P6-E8,306-3-A,306-3,3,moderate_expansion,broader_topic; direct,direct,direct,review,small_expansion
P6-E8,306-4-A,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-4-B-I-III,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-4-C-I-III,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-A,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-B-I-III,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-C-I-IV,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L2,303-4,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L2,303-4-A-I-IV,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-3,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-3-B-I-IV,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-4,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-4-A-I-II,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L4,305-4,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-A,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-B,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-C,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L5,304-3,304-3,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-L5,304-3-A,304-3,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P8-E1,413-1-A-I-III,413-1,1,low_expansion,direct,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P8-E2,413-1,413-1,1,low_expansion,direct,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P8-E2,413-1-A-IV,413-1,1,low_expansion,direct,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P8-E3,413-1-A-VIII,413-1,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P8-L1,413-1,413-1,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P8-L1,413-1-A-IV,413-1,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P8-L2,413-1-A-IV,413-1,1,low_expansion,direct,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P8-L4,201-1-A,201-1,1,low_expansion,partial_requirement,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P8-L6,413-1-A-IVC,413-1,1,low_expansion,direct,can_be_covered_by,partial,review,one_to_one_but_interop_type_uncertain
P9-E3,418-1,418-1,1,low_expansion,none,direct,direct,review,one_to_one_but_interop_type_uncertain
P9-E3,418-1-A-I-II,418-1,1,low_expansion,none,direct,direct,review,one_to_one_but_interop_type_uncertain
P9-E3,418-1-B,418-1,1,low_expansion,none,direct,direct,review,one_to_one_but_interop_type_uncertain
P9-L5,418-1,418-1,1,low_expansion,none,direct,direct,review,one_to_one_but_interop_type_uncertain
P9-L5,418-1-A,418-1,1,low_expansion,none,direct,direct,review,one_to_one_but_interop_type_uncertain
