brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics
P1-L1,2-24-A-IV,2-24,6,high_expansion,direct,direct,direct
P2-E3,3-3,3-3,186,very_high_expansion,direct,direct,direct
P2-E3,3-3-D,3-3,186,very_high_expansion,direct,direct,direct
P2-E3,306-2,306-2,9,high_expansion,partial_requirement,direct,direct
P2-E3,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct
P2-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct
P2-L2,3-3-A,3-3,186,very_high_expansion,direct,direct,direct
P2-L2,3-3-D-I-III,3-3,186,very_high_expansion,direct,direct,direct
P2-L2,306-2,306-2,9,high_expansion,partial_requirement,direct,direct
P2-L2,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct
P2-L3,301-2,301-2,1,low_expansion,direct,direct,direct
P2-L3,301-2-A,301-2,1,low_expansion,direct,direct,direct
P3-E1,401-2,401-2,9,high_expansion,partial_requirement,no_direct_linkage,no_direct_linkage
P3-E10,403-1,403-1,1,low_expansion,partial_requirement,direct,direct
P3-E10a,403-1-A,403-1,1,low_expansion,partial_requirement,direct,direct
P3-E10a,403-1-B,403-1,1,low_expansion,partial_requirement,direct,direct
P3-E11,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E11,403-10-A,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E11,403-10-B-II,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E11,403-9,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E11,403-9-A-I-V,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E11,403-9-B-I-V,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E12,3-3,3-3,186,very_high_expansion,direct,direct,direct
P3-E12,3-3-D-I-III,3-3,186,very_high_expansion,direct,direct,direct
P3-E12,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E12,403-10-C-III,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E12,403-9,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E12,403-9-C-III,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E12,403-9-D,403-9,6,high_expansion,partial_requirement,direct,direct
P3-E13,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial
P3-E14,3-3-E-I,3-3,186,very_high_expansion,direct,can_be_covered_by,partial
P3-E15,3-3,3-3,186,very_high_expansion,direct,direct,direct
P3-E15,403-10,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E15,403-10-C-II-III,403-10,3,moderate_expansion,partial_requirement,direct,direct
P3-E15,403-9,403-9,6,high_expansion,partial_requirement,direct,direct
