brsr_id,gri_code,esrs_datapoint_id,esrs_name,esrs_data_type,interop_mapping_type,review_reason,esrs_datapoint_count,expansion_class,brsr_match_type,brsr_mapping_semantics,interop_support,precision_class,precision_reason
A18a,2-7-A,S1-6_09,Number of employees (head count or full-time equivalent),Table 3/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_10,Average number of employees (head count or full-time equivalent),Table 3/Decimal,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_13,Description of methodologies and assumptions used to compile data (employees),narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_14,Employees numbers are reported in head count or full-time equivalent,semi-narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_15,Employees numbers are reported at end of reporting period/average/other methodology,semi-narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_16,Disclosure of contextual information necessary to understand data (employees),narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_18,Further detailed breakdown by gender and by region [table],Table 4,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_19,Number of full-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-A,S1-6_20,Number of part-time employees by head count or full time equivalent,Table 4 Decimal/Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
A18a,2-7-B-I-II,SBM-1_03,"Number of employees (head count), at end of period",Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,19,very_high_expansion,direct,direct,direct,low_precision,expansion_19
