brsr_id,gri_code,gri_disclosure,esrs_datapoint_id,esrs_sheet,esrs_topic_code,esrs_dr,esrs_name,esrs_data_type,brsr_match_type,brsr_mapping_semantics,brsr_evidence_source,gri_esrs_match_level,expansion_count,expansion_class,interop_support,evidence_tier,experimental_track,teacher_score,teacher_rank,teacher_margin,pseudo_label
P2-L2,3-3-D-I-III,3-3,BP-2_26,ESRS 2,ESRS 2,BP-2,"Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions",narrative,direct,direct,table1,disclosure,186,very_high,direct,review,train,0.7038754820823669,1,0.08976113796234131,medium_expanded
P8-L1,3-3-D-I-II,3-3,S1-4_01,ESRS S1,S1,S1-4,"Description of action taken, planned or underway to prevent or mitigate negative impacts on own workforce",narrative,direct,direct,table1,disclosure,186,very_high,direct,review,train,5.309250831604004,1,0.1765446662902832,medium_expanded
