brsr_id,esrs_universe_size,symbolic_candidates,rerank_top,ce_pairs_scored,base_universe_encode_seconds,kd_gold_universe_encode_seconds,kd_gold_medium_universe_encode_seconds,direct_query_seconds,symbolic_seconds,ce_seconds,multihop_kd_gold_seconds,multihop_kd_gold_medium_seconds,direct_kd_gold_scoring_seconds,direct_kd_gold_medium_scoring_seconds
A13,517,2,50,2,0.4564862558618188,0.1803673766553402,0.1526091918349266,0.019815897569060326,8.918531239032745e-05,0.012128330767154694,0.009450862184166908,0.00896622147411108,0.000497620552778244,0.00043132342398166656
B6,517,186,50,50,0.4564862558618188,0.1803673766553402,0.1526091918349266,0.009272636845707893,0.00038930773735046387,0.05742189381271601,0.009044116362929344,0.00881220307201147,0.00044581200927495956,0.000416560098528862
P1-E7,517,5,50,5,0.4564862558618188,0.1803673766553402,0.1526091918349266,0.008587555959820747,6.070826202630997e-05,0.011911734007298946,0.00842904020100832,0.008367125876247883,0.0005594352260231972,0.0004509817808866501
P5-E2,517,7,50,7,0.4564862558618188,0.1803673766553402,0.1526091918349266,0.00877048447728157,5.049724131822586e-05,0.012716864235699177,0.008678444661200047,0.008649269118905067,0.0003925403580069542,0.0003823908045887947
P6-E1,517,13,50,13,0.4564862558618188,0.1803673766553402,0.1526091918349266,0.009573646821081638,5.7188794016838074e-05,0.02427068166434765,0.010731138288974762,0.009109615348279476,0.00038882438093423843,0.00036481674760580063
